Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA1503341,TEJON CASTAC WD - I5 & LAVAL RD,NTNC,D3,T3,KERN  ,SW
CA1503349,"WM. BOLTHOUSE FARMS, INC.",NTNC,D2,T2,KERN  ,GW
CA1503350,TEHACHAPI VALLEY UNITED METHODIST CHURCH,NC,NR,There are no treatment plants,KERN  ,GW
CA1503360,DIAMOND JIM S CASINO,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1503368,SOUTH FORK MIDDLE SCHOOL,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1503373,"SOUTH FORK WOMENS CLUB, INC.",NC,NR,There are no treatment plants,KERN  ,GW
CA1503374,"MARKO ZANINOVICH, INC. - POND ROAD",NTNC,D1,TD,KERN  ,GW
CA1503378,WIND WOLVES PRESERVE,NC,NR,There are no treatment plants,KERN  ,GW
CA1503380,J G BOSWELL TOMATO COMPANY LLC,NTNC,D1,T1,KERN  ,GW
CA1503384,SOUTH VALLEY FARMS-BEECH HULLER/OFFICE,NTNC,D1,TD,KERN  ,GW
CA1503392,BAKERSFIELD 420 CLUB,NC,NR,There are no treatment plants,KERN  ,GW
CA1503397,CALVARY CHAPEL,NC,NR,There are no treatment plants,KERN  ,GW
CA1503398,COUNTRYSIDE MKT & RESTRN-119,NC,NR,There are no treatment plants,KERN  ,GW
CA1503440,CALIFORNIA RESOURCES ELK HILLS,NTNC,D2,TD,KERN  ,GWP
CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1503509,THE ANNE SIPPI CLINIC-RIVERSIDE RANCH,C,D1,TD,KERN  ,GW
CA1503515,SUN PACIFIC SHIPPERS-MARICOPA WATER SYS.,NTNC,D1,T2,KERN  ,GW
CA1503521,PRIMEX FARMS WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1503526,WINI MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1503536,GLENNVILLE MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1503537,HOLIDAY ROCK PLANT #2,NTNC,D1,TD,KERN  ,GW
CA1503543,SUMMIT INDUSTRIAL PARK WATER SYSTEM,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1503558,SHEPHERD OF THE MOUNTAINS LUTHERAN CHURC,NC,NR,There are no treatment plants,KERN  ,GWP
CA1503565,MURRAY FAMILY FARMS AT GENERAL BEALE RD,NC,NR,There are no treatment plants,KERN  ,GW
CA1503570,MURRAY FAMILY FARMS AT COPUS ROAD,NC,NR,TD,KERN  ,GW
CA1503576,ANTHONY VINEYARDS WATER SYSTEM,NC,NR,TD,KERN  ,GW
CA1503578,SUNNYGEM HULLING & SHELLING OPERATIONS,NC,NR,There are no treatment plants,KERN  ,GW
CA1503623,JAKOV DULCICH & SONS WATER SYSTEM,NC,NR,T2,KERN  ,GW
CA1503629,BEAR MOUNTAIN RV PARK WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503642,WEEKS ROSES WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1503645,ROBERTS INVESTMENTS WATER SYSTEM,NTNC,D1,There are no treatment plants,KERN  ,GWP
CA1503646,CHRISTIAN LIFE ASSEMBLY WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503648,GRACE COMMUNITY CHURCH WATER SYSTEM,NC,NR,TD,KERN  ,GW
CA1503649,DALE DAVIS - ENOS LANE FACILITY,NC,D1,There are no treatment plants,KERN  ,GW
CA1503650,DIRTY BIRD H2O,NC,NR,There are no treatment plants,KERN  ,GW
CA1503651,TEHACHAPI WINE AND CATTLE CO.,NC,NR,There are no treatment plants,KERN  ,GW
CA1503652,JOSEPH COLD STORAGE LLC,NC,NR,T1,KERN  ,GW
CA1503653,M & L COLD STORAGE WATER SYSTEM,NTNC,D1,T3,KERN  ,GW
CA1503654,COUNTRYSIDE MKT & RESTRNT - COMANCHE,NC,NR,There are no treatment plants,KERN  ,GW
CA1503655,BILLINGSLEY DVM WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503656,BAKERSFIELD NATIONAL CEMETERY WS,NC,NR,TD,KERN  ,GW
CA1503657,KIMBERLINA HOUSING UNIT,NC,D1,T2,KERN  ,GW
CA1503658,CROSSOVER CHURCH OF ROSEDALE WS,NC,NR,There are no treatment plants,KERN  ,GW
CA1503660,DELTA TRADING WATER SYSTEM,NTNC,D1,T1,KERN  ,GW
CA1503661,TRIASSIC LEGACY VINEYARDS WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503662,ALTA WIND PROJECT O&M FACILITY WATER SYS,NTNC,D1,TD,KERN  ,GW
CA1503663,WONDERFUL HULLING & SHELLING WS,NTNC,D1,T2,KERN  ,SW
CA1503664,SOLEDAD MOUNTAIN PROJECT WATER SYSTEM,NTNC,D1,T1,KERN  ,GW
CA1503666,FREON LOGISTICS,NTNC,D1,TD,KERN  ,GW
CA1503667,DERREL'S MINI STORAGE #66,NC,NR,There are no treatment plants,KERN  ,GW
CA1503668,KERN RIVER'S EDGE CAMPGROUND RETREAT,NC,NR,T1,KERN  ,GW
CA1503669,NORTH KRANENBURG WS,C,D1,There are no treatment plants,KERN  ,GW
CA1503671,SUNNYGEM JUICE PLANT,NTNC,D1,T1,KERN  ,GW
CA1503672,PRINCE TRUCK STOP WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503676,COUNTRYSIDE MKT & RESTRNT - BEAR MTN,NC,NR,There are no treatment plants,KERN  ,GW
CA1503677,DORNER FAMILY VINEYARDS,NC,NR,There are no treatment plants,KERN  ,GW
CA1503678,CHINA LAKE NAVAL AIR - SOUTH RANGE,NTNC,D1,T2,KERN  ,GW
CA1503679,CUYAMA ORCHARDS INC,NC,NR,T2,KERN  ,GW
CA1503680,SHEPHERD OF THE HILLS - TEHACHAPI,NC,NR,There are no treatment plants,KERN  ,GW
CA1503681,COLUMBINE VINEYARDS PLANT 1 WATER SYSTEM,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1503682,REVOL GREENS,NTNC,D1,TD,KERN  ,GW
CA1503683,PEAK TO PEAK MOUNTAIN CHARTER SCHOOL WS,NTNC,D1,There are no treatment plants,KERN  ,GWP
CA1503684,148 EAST WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1503685,CALIFIA FARMS WATER SYSTEM,NTNC,D1,T1,KERN  ,GW
CA1503686,MILLENNIUM PACIFIC GREENHOUSES,NTNC,D1,TD,KERN  ,GW
CA1503687,COSTAJO ARCO AMPM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503688,GRIMMWAY FARMS - DAVID ROAD,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1504000,FAMOSO NUT COMPANY,NTNC,D1,T2,KERN  ,GW
CA1504001,"WONDERFUL NURSERIES, LLC",NTNC,D1,Operator is not required,KERN  ,GW
CA1504002,JASMINE VINEYARDS,NC,NR,T1,KERN  ,GW
CA1504003,KERN RIDGE GROWERS,NTNC,D1,T1,KERN  ,GW
CA1504004,BLOSSOM VALLEY ORGANICS SOUTH,NTNC,D1,T1,KERN  ,GW
CA1504005,M & L OFFICE,NTNC,D1,T1,KERN  ,GW
CA1504006,"CENTRAL VALLEY EGGS, LLC",NTNC,D1,T2,KERN  ,GW
CA1504007,JASMINE VINEYARDS COLD STORAGE,NTNC,D1,T1,KERN  ,GW
CA1504008,DELANO FARMS,NTNC,D1,TD,KERN  ,GW
CA1504009,ARCO AMPM #42924,NC,NR,There are no treatment plants,KERN  ,GW
CA1510001,ARVIN COMMUNITY SERVICES DIST,C,D3,T2,KERN  ,GW
CA1510002,BORON CSD,C,D2,There are no treatment plants,KERN  ,SWP
CA1510003,CWS - BAKERSFIELD,C,D5,T5,KERN  ,SW
CA1510004,"CASA LOMA WATER CO, INC.",C,D1,There are no treatment plants,KERN  ,GW
CA1510005,"DELANO, CITY OF",C,D4,T3,KERN  ,GW
CA1510006,EAST NILES CSD,C,D4,T2,KERN  ,SWP
CA1510007,FRAZIER PARK PUD,C,D2,TD,KERN  ,GW
CA1510009,ERSKINE CREEK WC,C,D2,TD,KERN  ,GW
CA1510011,BUTTONWILLOW CWD,C,D2,TD,KERN  ,GW
CA1510012,LAMONT PUBLIC UTILITY DIST,C,D3,T2,KERN  ,GW
CA1510013,"MCFARLAND, CITY OF",C,D3,T2,KERN  ,GW
CA1510014,MOJAVE PUD,C,D2,T2,KERN  ,SWP
CA1510015,OILDALE MWC,C,D3,TD,KERN  ,SWP
CA1510016,RAND COMMUNITIES WATER DISTRICT,C,D1,TD,KERN  ,GW
CA1510017,INDIAN WELLS VALLEY W.D.,C,D3,T3,KERN  ,GW
CA1510018,ROSAMOND CSD,C,D3,T1,KERN  ,SWP
CA1510019,"SHAFTER, CITY OF",C,D3,T2,KERN  ,GW
CA1510020,"TEHACHAPI, CITY OF",C,D2,T2,KERN  ,GW
CA1510021,"WASCO, CITY OF",C,D3,TD,KERN  ,GW
CA1510022,WEST KERN WATER DISTRICT,C,D4,T2,KERN  ,GW
CA1510023,LAKE OF THE WOODS MWC,C,D1,T2,KERN  ,GW
CA1510024,GREENFIELD COUNTY WD,C,D3,T2,KERN  ,GW
CA1510025,STALLION SPRINGS CSD,C,D3,T2,KERN  ,GW
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,C,D2,T3,KERN  ,GW
CA1510027,DESERT LAKE COMM SERV DIST,C,D1,There are no treatment plants,KERN  ,SWP
CA1510028,MIL POTRERO MWC,C,D2,T2,KERN  ,GW
CA1510029,VAUGHN WC INC,C,D3,T2,KERN  ,GW
CA1510031,"BAKERSFIELD, CITY OF",C,D4,T3,KERN  ,SWP
CA1510032,"CALIFORNIA CITY, CITY OF",C,D3,TD,KERN  ,SWP
CA1510033,CWS - KERNVILLE,C,D2,T3,KERN  ,SW
CA1510036,INYOKERN CSD,C,D1,TD,KERN  ,GW
CA1510038,BEAR VALLEY CSD,C,D3,TD,KERN  ,GW
CA1510039,CWS SOUTHLAKE SYSTEM,C,D2,T2,KERN  ,GW
CA1510040,KERN COUNTY WATER AGENCY,C,D4,T5,KERN  ,SW
CA1510042,MOUNTAIN MESA WC,C,D2,T2,KERN  ,GW
CA1510043,CWS-ONYX WATER SYSTEM,C,D1,T2,KERN  ,GW
CA1510045,GOLDEN HILLS CSD,C,D2,T2,KERN  ,GW
CA1510046,LOST HILLS UTILITY DISTRICT,C,D2,T2,KERN  ,GW
CA1510049,CWS - LAKELAND,C,D1,T2,KERN  ,GW
CA1510051,LEBEC COUNTY WATER DISTRICT,C,D2,TD,KERN  ,GW
CA1510052,NORTH EDWARDS WD,C,D1,TD,KERN  ,GW
CA1510053,ANTELOPE VALLEY E KERN WTR AGY-ROSAMOND,C,D3,T4,KERN  ,SW
CA1510054,PINON PINES MWC,C,D1,There are no treatment plants,KERN  ,GW
CA1510055,CWS - NORTH GARDEN,C,D3,T4,KERN  ,SW
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,C,D2,T3,KERN  ,GW
CA1510300,CSP - RED ROCK CANYON,NC,NR,T2,KERN  ,SW
CA1510301,CSP - FORT TEJON,NC,NR,TD,KERN  ,GW
CA1510302,CSP - TULE ELK,NC,NR,TD,KERN  ,GW
CA1510701,EDWARDS AFB - MAIN BASE,C,D4,T2,KERN  ,SWP
CA1510702,EDWARDS AFB - AIR FORCE RESEARCH LAB,NTNC,D1,TD,KERN  ,SWP
CA1510703,CHINA LAKE NAVAL AIR WEAPONS STATION,C,D3,T2,KERN  ,GW
CA1510800,CCI - TEHACHAPI,C,D2,T1,KERN  ,GW
CA1510801,WASCO ST. PRISON RECEPTION CTR,C,D2,TD,KERN  ,GW
CA1510802,KERN VALLEY STATE PRISON,C,D2,T2,KERN  ,GW
CA1590001,EDWARDS AIR FORCE BASE,NP,,There are no treatment plants,KERN  ,
CA1590002,STALLION SPRINGS CSD,NP,,There are no treatment plants,KERN  ,
CA1590003,BEAR VALLEY COMMUNITY SERVICES DISTRICT,NP,,There are no treatment plants,KERN  ,
CA1590004,CITY OF DELANO,NP,,There are no treatment plants,KERN  ,
CA1590005,CITY OF BAKERSFIELD,NP,,There are no treatment plants,KERN  ,
CA1590006,LAMONT PUD,NP,,There are no treatment plants,KERN  ,
CA1590007,TEJON RANCH RECYCLED WATER SYSTEM,NP,,There are no treatment plants,KERN  ,
CA1590008,CITY OF ARVIN,NP,,There are no treatment plants,KERN  ,
CA1590010,CITY OF MCFARLAND,NP,,There are no treatment plants,KERN  ,
CA1590011,NAVAL AIR WEAPONS STATION - RECLAMATION,NP,,There are no treatment plants,KERN  ,
CA1590012,CA CORRECTIONAL INSTITUTION AT TEHACHAPI,NP,,There are no treatment plants,KERN  ,
CA1590013,DELANO II PRISON FOR MEN,NP,,There are no treatment plants,KERN  ,
CA1590014,"WASCO, CITY",NP,,There are no treatment plants,KERN  ,
CA1590015,ROSAMOND CSD-RECYCLED WATER SYSTEM,NP,,There are no treatment plants,KERN  ,
CA1590016,BUTTONWILLOW RECLAMATION PROJECT,NP,,There are no treatment plants,KERN  ,
CA1590017,CITY OF TEHACHAPI RECYCLED WATER SYSTEM,NP,,There are no treatment plants,KERN  ,
CA1590020,ERRO RANCH               FORCED TO WQI,NP,,There are no treatment plants,KERN  ,
CA1590021,NORTH OF THE RIVER SANITARY DIST. 1,NP,,There are no treatment plants,KERN  ,
CA1590022,CITY OF TAFT RECYCLED WATER,NP,,There are no treatment plants,KERN  ,
CA1590023,TEJON MOUNTAIN VILLAGE-RECYCLED WATER,NP,,There are no treatment plants,KERN  ,
CA1590024,WAGAS RANCH,NP,,There are no treatment plants, ,
CA1590025,CITY OF RIDGECREST,NP,,There are no treatment plants,KERN  ,
CA1590026,KERN SANITATION AUTHORITY,NP,,There are no treatment plants,KERN  ,
CA1600002,SUNSET VISTA ESTATES MHP,C,D1,T1,KINGS  ,GW
CA1600009,HANFORD CHRISTIAN SCHOOL,NTNC,D1,There are no treatment plants,KINGS  ,GW
CA1600011,PIONEER ELEMENTARY SCHOOL,NTNC,D1,T1,KINGS  ,GW
CA1600013,LAKESIDE ELEMENTARY SCHOOL,NTNC,D1,T1,KINGS  ,GW
CA1600015,KINGS RIVER HARDWICK SCHOOL,NTNC,D1,There are no treatment plants,KINGS  ,GW
CA1600017,ISLAND UNION SCHOOL,NTNC,D1,There are no treatment plants,KINGS  ,GW
CA1600022,"WESTSIDE HARVESTING, LLC",NTNC,D1,T1,KINGS  ,GW
CA1600023,AZCAL MANAGEMENT CO,C,D1,T2,KINGS  ,SW
CA1600029,BURRIS PARK,NC,NR,There are no treatment plants,KINGS  ,GW
CA1600032,KINGS REST MOTEL,NC,NR,There are no treatment plants,KINGS  ,GW
CA1600050,CENTRAL VALLEY MEAT CO INC,NTNC,D1,T1,KINGS  ,GW
CA1600249,"DEL MONTE FOODS, INC. PLANT #24",NTNC,D1,T3,KINGS  ,GW
CA1600265,HICKEY PARK,NC,NR,There are no treatment plants,KINGS  ,GW
CA1600270,KINGSTON-LATON PARK,NC,NR,There are no treatment plants,KINGS  ,GW
CA1600293,CHAMPIONS- SAMUEL'S HOUSE,C,D1,T1,KINGS  ,GW
CA1600303,KEENAN FARMS INC.,NTNC,D1,T2,KINGS  ,SW
CA1600507,HARDWICK WATER COMPANY,C,D1,There are no treatment plants,KINGS  ,GW
CA1600602,NICHOLS FARMS,NTNC,D1,T1,KINGS  ,GW
CA1600603,HOMEGROWN COLD STORAGE,NC,NR,There are no treatment plants,KINGS  ,GW
CA1600604,WARMERDAM PACKING LLC,NC,NR,There are no treatment plants,KINGS  ,GW
CA1600605,BAKER COMMODITIES INC.,NTNC,D1,T1,KINGS  ,GW
CA1600607,HANFORD FIRST BAPTIST CHURCH,NC,D1,T1,KINGS  ,GW
CA1600608,WSL - SURF RANCH,NC,NR,T1,KINGS  ,GW
CA1600609,NETTO AG INC.,NTNC,D1,There are no treatment plants,KINGS  ,GW
CA1610001,ARMONA COMMUNITY SERVICES DIST,C,D2,T3,KINGS  ,GW
CA1610002,"AVENAL, CITY OF",C,D3,T3,KINGS  ,SW
CA1610003,"HANFORD, CITY OF",C,D4,T2,KINGS  ,GW
CA1610004,"CORCORAN, CITY OF",C,D3,T4,KINGS  ,GW
CA1610005,"LEMOORE, CITY OF",C,D3,T3,KINGS  ,GW
CA1610006,STRATFORD PUD,C,D2,TD,KINGS  ,GW
CA1610007,HOME GARDEN CSD,C,D2,T2,KINGS  ,GW
CA1610009,KETTLEMAN CITY CSD,C,D1,T3,KINGS  ,SW
CA1610700,LEMOORE NAVAL AIR STATION,C,D3,T3,KINGS  ,SW
CA1690001,CITY OF AVENAL,NP,,There are no treatment plants,KINGS  ,
CA1690002,CITY OF HANFORD,NP,,There are no treatment plants,KINGS  ,
CA1690003,TONY REIS,NP,,There are no treatment plants,KINGS  ,
CA1690004,CITY OF LEMOORE,NP,,There are no treatment plants,KINGS  ,
CA1690005,CITY OF HANFORD,NP,,There are no treatment plants,KINGS  ,
CA1690006,SANTA ROSA RANCHERIA TACHI TRIBE,NP,,There are no treatment plants,KINGS  ,
CA1690007,KETTLEMAN CITY,NP,,There are no treatment plants,KINGS  ,
CA1690008,EL DORADO MHP WWTF-MCCLORY PROPERTIES,NP,,There are no treatment plants,KINGS  ,
CA1700502,ANDERSON SPRINGS CSD,C,D1,TD,LAKE  ,GW
CA1700508,GLENHAVEN MUTUAL WATER COMPANY,C,D1,T1,LAKE  ,GW
CA1700510,JAGO BAY MUTUAL WATER COMPANY,NC,D1,TD,LAKE  ,GW
CA1700511,HARBIN HOT SPRINGS,NC,D1,T2,LAKE  ,GU
CA1700518,LOCH LOMOND MUTUAL WATER CO,C,D1,T1,LAKE  ,GW
CA1700519,CRESCENT BAY IMPROVEMENT COMPANY,C,D1,T2,LAKE  ,SW
CA1700527,MOUNTAIN OF ATTENTION WATER,C,D1,T1,LAKE  ,GW
CA1700533,INDIAN BEACH RESORT,NC,D1,TD,LAKE  ,GW
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,C,D1,T1,LAKE  ,GW
CA1700546,CLEAR WATER MUTUAL WATER COMPANY,C,D1,T3,LAKE  ,SW
CA1700549,CORINTHIAN BAY MUTUAL WATER COMPANY,C,D1,TD,LAKE  ,GW
CA1700554,LAKE COUNTY CSA 13 - KONO TAYEE,C,D1,TD,LAKE  ,GW
CA1700561,BLUE LAKES IMPROVEMENT CLUB,C,D1,T2,LAKE  ,GW
CA1700568,HARBOR VIEW MUTUAL WATER COMPANY,C,D1,T3,LAKE  ,SW
CA1700579,VILLA BLUE ESTATES WATER DISTRICT,C,D1,T1,LAKE  ,GW
CA1700580,TWIN CREEKS MOBILE AND RV VILLAGE,C,D1,T1,LAKE  ,GW
CA1700584,WESTWIND MOBILE HOME PARK,C,D1,T2,LAKE  ,SW
CA1700589,BLUE LAKES MOBILE HOME PARK,C,D1,TD,LAKE  ,GW
CA1700592,KONOCTI SHORES,C,D1,TD,LAKE  ,GW
CA1700595,CAL 20 VILLAGE AND MEADOW POINTE PARK,C,D1,T2,LAKE  ,GW
CA1700596,BLUE LAKES VILLAGE,C,D1,T1,LAKE  ,GW
CA1700597,LAKE PILLSBURY RANCH WATER COMPANY,NC,D1,T2,LAKE  ,SW
CA1700599,LAKE PILLSBURY RESORT & MARINA INC,NC,D1,T2,LAKE  ,SW
CA1700601,LE TRIANON RESORT,NC,D1,TD,LAKE  ,GW
CA1700603,RICHMOND PARK RESORT,NC,D1,T3,LAKE  ,SW
CA1700604,REEL IN RESORT,NC,D1,TD,LAKE  ,GW
CA1700606,BAYCLIFF WATER,C,D1,T1,LAKE  ,GW
CA1700609,LAZY S MOBILE RANCH,C,D1,T2,LAKE  ,SW
CA1700610,BELLA LAGO MOBILE HOME PARK,C,D1,T1,LAKE  ,GW
CA1700617,LODGE AT BLUE LAKES,NC,D1,TD,LAKE  ,GW
CA1700627,WALL WATER,NC,D1,TD,LAKE  ,GW
CA1700628,PINE ACRES BLUE LAKE RESORT,NC,D1,T1,LAKE  ,GW
CA1700630,PIER 1900 HOMEOWNER'S ASSOCIATION,C,D1,T1,LAKE  ,GW
CA1700633,USFS OAK FLAT WATER SYSTEM,NC,D1,TD,LAKE  ,GW
CA1700634,USFS-SUNSET POINT CAMPGROUND,NC,D1,TD,LAKE  ,GW
CA1700638,USFS-MIDDLE CREEK CG,NC,D1,Missing treatment classification in SDWIS,LAKE  ,GW
CA1700650,MANDALA WATER SYSTEM,NC,D1,TD,LAKE  ,GW
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,C,D1,T1,LAKE  ,GW
CA1700659,THE MERCANTILE,NC,NR,T1,LAKE  ,GW
CA1700670,NARROWS FAMILY RESORT,NC,D1,TD,LAKE  ,GW
CA1700674,WALNUT COVE MOBILE ESTATES,C,D1,T1,LAKE  ,GW
CA1700676,WILDWOOD,NC,D1,TD,LAKE  ,GW
CA1700677,LAKESIDE COUNTY PARK,NC,D1,TD,LAKE  ,GW
CA1700685,SKYPARK PROPERTIES,NC,D1,TD,LAKE  ,GW
CA1700698,LARSEN'S OFFICE COMPLEX,NC,D1,T1,LAKE  ,GW
CA1700702,INNISFREE WATER COMPANY,C,D1,TD,LAKE  ,GW
CA1700704,SARATOGA SPRINGS RETREAT CENTER,NC,D1,TD,LAKE  ,GW
CA1700710,HIDDEN VALLEY FOOD MART,NC,NR,There are no treatment plants,LAKE  ,GW
CA1700712,LAKEPORT CINEMAS,NC,D1,TD,LAKE  ,GW
CA1700715,"JACK IN THE BOX - LAKEPORT, CA",NC,D1,TD,LAKE  ,GW
CA1700716,LANGTRY FARMS,NC,D1,T2,LAKE  ,SW
CA1700725,THREE BROTHERS TRAVEL PLAZA,NC,D1,TD,LAKE  ,GW
CA1700727,ROTTEN ROBBIE,NC,D1,TD,LAKE  ,GW
CA1700728,NORTHERN CALIFORNIA VIPASSANA CENTER,NC,NR,There are no treatment plants,LAKE  ,GW
CA1700730,THOMAS WATER SYSTEM,NC,D1,TD,LAKE  ,GW
CA1700731,BRASSFIELD ESTATE WINERY,NTNC,D1,TD,LAKE  ,GW
CA1700733,JITTER BEAN COFFEE,NC,D1,TD,LAKE  ,GW
CA1700734,WESTGATE PETROLEUM,NC,NR,TD,LAKE  ,GW
CA1700736,CACHE CREEK VINEYARDS,NC,D1,TD,LAKE  ,GW
CA1700738,BOATIQUE WINES,NC,NR,TD,LAKE  ,GW
CA1700739,MENDO MILL AND LUMBER COMPANY,NTNC,NR,TD,LAKE  ,GW
CA1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,C,D3,T3,LAKE  ,SW
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,C,D2,T3,LAKE  ,SW
CA1710003,HIGHLANDS MUTUAL WATER COMPANY,C,D2,T4,LAKE  ,SW
CA1710004,"LAKEPORT, CITY OF",C,D2,T4,LAKE  ,SW
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,C,D2,T4,LAKE  ,SW
CA1710006,KONOCTI COUNTY WATER DISTRICT,C,D2,T4,LAKE  ,SW
CA1710007,KELSEYVILLE CO WATERWORKS DISTRICT 3,C,D2,T1,LAKE  ,GW
CA1710008,NICE MUTUAL WATER COMPANY,C,D2,T4,LAKE  ,SW
CA1710009,UPPER LAKE COUNTY WATER DISTRICT,C,D2,TD,LAKE  ,GW
CA1710010,LOWER LAKE COUNTY WATER DISTRICT,C,D2,T2,LAKE  ,GW
CA1710011,BUCKINGHAM PARK WATER DISTRICT,C,D2,T3,LAKE  ,SW
CA1710012,COBB AREA COUNTY WATER DISTRICT,C,D2,T1,LAKE  ,GW
CA1710013,CALLAYOMI COUNTY WATER DISTRICT,C,D2,T2,LAKE  ,GW
CA1710014,MT. KONOCTI MUTUAL WATER COMPANY,C,D3,T3,LAKE  ,SW
CA1710015,HIDDEN VALLEY LAKE CSD,C,D2,T1,LAKE  ,GW
CA1710018,LAKE COUNTY CSA 2 - SPRING VALLEY,C,D2,T2,LAKE  ,SW
CA1710021,LAKE COUNTY CSA 21 - NORTH LAKEPORT,C,D2,T3,LAKE  ,SW
CA1710022,LAKE COUNTY CSA 20 - SODA BAY,C,D3,T3,LAKE  ,SW
CA1710800,CDF-KONOCTI CONSERVATION CAMP NO. 27,C,D1,T2,LAKE  ,GW
CA1790001,CITY OF LAKEPORT - RECLAMATION PROJECT,NP,,There are no treatment plants,LAKE  ,
CA1790002,LAKE CO. SPEC. DISTR. RECLAMATION,NP,,There are no treatment plants,LAKE  ,
CA1790003,NORTHERN CA POWER AGENCY- SE GEYSERS,NP,,There are no treatment plants,LAKE  ,
CA1790004,"LAKEPORT, CITY OF (RECYLED WATER)",NP,,There are no treatment plants,LAKE  ,
CA1800010,CLEAR CREEK LATTER DAY SAINTS CHURCH,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800028,DOLLAR GENERAL DOYLE,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800202,LASSEN CO. OFF. OF EDUCATION,NTNC,D1,There are no treatment plants,LASSEN  ,GW
CA1800503,SUSAN RIVER PARK WATER CO.,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800511,LAKE FOREST MUTUAL W.C.,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800512,CLEAR CREEK CSD-WESTWOOD,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800514,EAGLENEST HOMEOWNERS CORPORATION,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800515,LAHONTAN HEIGHTS HOME. ASSOC.,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800516,LITTLE VALLEY CSD,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800522,HONEY LAKE CAMPGROUND,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800523,PINEVIEW MOBILE HOME PARK,C,D1,TD,LASSEN  ,GW
CA1800524,LASSEN MOBILE HOME PARK,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800528,DIAMOND MOUNTAIN GOLF CLUB,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800529,SUSAN HILLS ESTATES WC,C,D1,There are no treatment plants,LASSEN  ,GW
CA1800531,CALTRANS-HONEY LAKE SRRA,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800534,SPAULDING EAGLE LAKE MWC,C,D1,TD,LASSEN  ,GW
CA1800557,MOUNTAIN VALLEY LATTER-DAY SAINTS CHURCH,NC,NR,T1,LASSEN  ,GW
CA1800569,LNF-EAGLE LAKE RANGER STATION,NTNC,D1,There are no treatment plants,LASSEN  ,GW
CA1800573,RICHMOND ELEMENTARY SCHOOL,NTNC,D1,T1,LASSEN  ,GW
CA1800574,JOHNSTONVILLE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,LASSEN  ,GW
CA1800575,SHAFFER ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,LASSEN  ,GW
CA1800576,LONG VALLEY CHARTER SCHOOL,NTNC,D1,There are no treatment plants,LASSEN  ,GW
CA1800577,JANESVILLE ELEMENTARY SCHOOL,NTNC,D1,TD,LASSEN  ,GW
CA1800585,LASSEN COMMUNITY COLLEGE DIST.,NTNC,D2,T1,LASSEN  ,GW
CA1800589,LNF-BOGARD WORK CENTER,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800601,LNF-EAGLE LAKE CAMPGROUNDS,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800632,POINT HORIZON INSTITUTE,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1800801,EAGLE LAKE RV PARK,NC,NR,There are no treatment plants,LASSEN  ,GW
CA1805001,JOHNSTONVILLE WATER SYSTEM,NTNC,D1,There are no treatment plants,LASSEN  ,GW
